rank,profile_id,rating,name,highest_rating,streak,lowest_streak,highest_streak,games,wins,losses,drops,last_match,last_match_time
177,217919,1861,RoR | Sommos,1877.0,-1,-5.0,9.0,230,136,94,4,1594475689,1594475689
178,178430,1861,The Bloodless,1925.0,2,-7.0,13.0,509,277,232,9,1594683159,1594683159
179,494384,1858,raremome,1884.0,-2,-5.0,6.0,83,53,30,0,1594218876,1594218876
180,1050688,1857,LB10,1939.0,3,-4.0,16.0,279,168,111,8,1593481640,1593481640
181,949573,1855,[bS']Socksyy,1856.0,6,-5.0,11.0,362,199,163,4,1594264855,1594264855
182,689666,1855,Good_luck,1863.0,2,-5.0,7.0,301,174,127,5,1594556997,1594556997
183,622641,1855,Mini-Cally,1903.0,-1,-5.0,18.0,220,127,93,1,1594656699,1594656699
184,2420511,1853,GodsPrisoner,1889.0,2,-9.0,18.0,183,112,71,0,1594694865,1594694865
185,77944,1850,_Tomate,1850.0,4,-5.0,17.0,252,146,106,2,1594658261,1594658261
186,2717438,1848,THE_BLACK_PIG,2025.0,-2,-5.0,13.0,211,116,95,0,1593978511,1593978511
187,1791605,1848,kymu,1942.0,-5,-7.0,16.0,519,285,234,5,1594526853,1594526853
188,288714,1848,Mihai06,1860.0,1,-6.0,8.0,635,337,298,14,1594664562,1594664562
189,2444511,1847,Gabi,1847.0,4,-8.0,17.0,196,117,79,4,1594594748,1594594748
190,1021651,1846,[bK] Faraday__,1881.0,-2,-6.0,6.0,333,184,149,12,1594669123,1594669123
191,245117,1844,Cl3m3nT_AoE,1849.0,4,-5.0,10.0,265,155,110,3,1593606239,1593606239
192,2838675,1844,一叶知秋,1863.0,-1,-3.0,22.0,72,54,18,0,1593524063,1593524063
193,2820448,1842,Dritan,1842.0,3,-3.0,15.0,131,84,47,0,1594075196,1594075196
194,300649,1841,Slip_Fe,1856.0,3,-8.0,9.0,218,137,81,0,1593806796,1593806796
195,1080448,1839,maximus_svk,1839.0,6,-7.0,13.0,260,151,109,8,1594665071,1594665071
196,757886,1838,VN_DarK_KnighT_,1838.0,1,-6.0,10.0,209,127,82,1,1594341513,1594341513
197,212294,1836,D3rp,1890.0,3,-5.0,8.0,350,204,146,2,1593685811,1593685811
198,339835,1836,twitch.tv/StonePleaseAoE,1836.0,2,-7.0,9.0,1040,539,501,14,1593643937,1593643937
199,2603755,1833,__YouAreMine__,1833.0,3,-4.0,14.0,74,54,20,1,1594559187,1594559187
200,2787509,1829,█,1884.0,-2,-3.0,19.0,80,57,23,0,1594641342,1594641342
201,210372,1828,holoholo,1930.0,1,-8.0,10.0,855,454,401,15,1594248867,1594248867
202,413924,1827,_65_Aramis_Arg,1876.0,1,-6.0,14.0,138,89,49,1,1594518043,1594518043
203,111069,1827,Biry,1830.0,2,-3.0,20.0,116,79,37,4,1594333427,1594333427
204,575279,1826,亲爱的瓜瓜,1907.0,2,-9.0,12.0,2487,1290,1197,62,1594668896,1594668896
205,516841,1826,emalius2,1897.0,1,-5.0,9.0,483,263,220,10,1594663275,1594663275
206,1627966,1826,________小小的蓝天,1841.0,1,-7.0,8.0,430,232,198,8,1594659725,1594659725
207,4971,1823,Nacho AoE,1847.0,3,-6.0,6.0,302,176,126,1,1594492644,1594492644
208,2508809,1823,NguoiChoiCoDayKyNang,1836.0,1,-5.0,14.0,102,68,34,1,1593697639,1593697639
209,1396278,1820,kiss my axe,1850.0,1,-5.0,12.0,253,146,107,1,1593960429,1593960429
210,611972,1817,Adham AoE,1850.0,3,-10.0,11.0,525,279,246,4,1594675247,1594675247
211,2534796,1817,Darkzone_NEMAN,1817.0,11,-7.0,11.0,437,237,200,3,1594141452,1594141452
212,1016523,1816,Dixy,1857.0,5,-6.0,16.0,272,151,121,5,1594095408,1594095408
213,2526695,1815,CuidaTusChanchitos,1849.0,2,-5.0,7.0,122,76,46,0,1594444388,1594444388
214,230432,1814,YeahBuddy!Lightweight!,1831.0,3,-5.0,7.0,358,199,159,2,1594409152,1594409152
215,2873611,1814,RcL | JiRC_,1830.0,4,-2.0,14.0,69,52,17,0,1593118302,1593118302
216,2462063,1814,面包 哈巴狗,1814.0,8,-7.0,8.0,66,37,29,0,1593731856,1593731856
217,208080,1813,Jupe,1829.0,-1,-7.0,9.0,717,378,339,11,1594300427,1594300427
218,320593,1813,_Coffee2019,1815.0,4,-12.0,7.0,875,462,413,25,1594375549,1594375549
219,448562,1812,Arenadonkey,1829.0,2,-5.0,8.0,365,202,163,2,1594685024,1594685024
220,1066886,1811,SeaofThieves,1895.0,1,-6.0,14.0,208,120,88,6,1594641816,1594641816
221,579679,1811,Margougou,1811.0,2,-5.0,6.0,373,205,168,9,1594238138,1594238138
222,1757594,1810,Tobi,1887.0,-3,-7.0,10.0,373,204,169,4,1594575555,1594575555
223,234755,1809,darvoi,1837.0,-1,-4.0,13.0,252,147,105,5,1594675247,1594675247
224,2920057,1809,LobodelaNieve,1809.0,2,-2.0,19.0,54,44,10,1,1594688367,1594688367
225,2412725,1809,Lotario,1809.0,2,-1.0,4.0,19,12,7,0,1594089815,1594089815
226,213534,1808,Diegabiksis,1827.0,-1,-5.0,9.0,147,94,53,2,1594388715,1594388715
227,746777,1808,nanimaren,1929.0,2,-5.0,11.0,306,173,133,6,1594499997,1594499997
228,373833,1807,Blackfrey,1816.0,3,-8.0,7.0,940,490,450,20,1594633642,1594633642
229,1656618,1806,FamilyNo1,1842.0,2,-5.0,20.0,278,162,116,6,1594511887,1594511887
230,267597,1805,wAkKo,1805.0,3,-6.0,8.0,603,323,280,9,1594244675,1594244675
231,238641,1805,SS_Antidemon,1820.0,3,-7.0,11.0,214,126,88,10,1594435217,1594435217
232,415635,1805,MJ,1825.0,-1,-8.0,10.0,1402,736,666,21,1594475219,1594475219
233,978630,1804,DonCabron,1804.0,2,-4.0,8.0,192,114,78,6,1594692933,1594692933
234,2063382,1804,Bobdedestructor,1914.0,-5,-8.0,9.0,443,233,210,9,1594694846,1594694846
235,674907,1803,Foxter,1897.0,1,-6.0,11.0,184,110,74,6,1594674421,1594674421
236,2925148,1802,_Ares_Eminem,1805.0,1,-4.0,10.0,238,138,100,0,1594667552,1594667552
237,1510346,1802,Ellis,1853.0,2,-9.0,9.0,1001,521,480,6,1594484649,1594484649
238,775196,1801,_[eC]_Gurke_,1823.0,-1,-8.0,11.0,732,386,346,11,1594582442,1594582442
239,1880500,1795,Jungleland68,1795.0,5,-2.0,20.0,53,42,11,0,1594639578,1594639578
240,2134694,1794,fire_de,1806.0,2,-5.0,7.0,388,209,179,1,1594637281,1594637281
241,2934033,1792,CuleKhm,1822.0,2,-4.0,15.0,108,69,39,2,1594672957,1594672957
242,1435521,1792,Schoolbag,1809.0,2,-6.0,11.0,149,92,57,6,1594434627,1594434627
243,442163,1791,NaCl,1896.0,-2,-6.0,8.0,369,206,163,3,1594391520,1594391520
244,284552,1790,SCJubileuAOC,1806.0,1,-8.0,19.0,269,161,108,30,1594420923,1594420923
245,1892228,1790,KaN,1863.0,-1,-7.0,11.0,106,66,40,3,1594686905,1594686905
246,2776293,1789,_USb_,1841.0,-2,-6.0,6.0,156,79,77,1,1594694484,1594694484
247,1978249,1789,Brother_Leo,1889.0,1,-5.0,29.0,468,269,199,39,1594675026,1594675026
248,2778690,1788,xyolox24,1803.0,4,-4.0,21.0,42,36,6,0,1592429191,1592429191
249,2760394,1788,KungFuPanda,1788.0,3,-6.0,20.0,86,56,30,0,1594618264,1594618264
250,2718002,1787,Hz | Dimecs,1793.0,4,-6.0,15.0,218,125,93,1,1594665435,1594665435
251,1468794,1787,Drew Peacock,1787.0,6,-9.0,11.0,501,269,232,16,1594674583,1594674583
252,261055,1786,squeak,1805.0,2,-3.0,14.0,63,51,12,1,1594581640,1594581640
253,3026909,1786,odds,1840.0,-3,-3.0,18.0,51,42,9,0,1594509199,1594509199
254,2753763,1786,Calu,1786.0,4,-3.0,19.0,43,36,7,0,1594246885,1594246885
255,2902159,1785,La Chola,1785.0,3,-1.0,28.0,32,31,1,0,1594249008,1594249008
256,1371787,1785,gArGi,1819.0,-2,-8.0,13.0,610,321,289,19,1594681959,1594681959
257,2148675,1784,Usui_Takumi,1792.0,1,-7.0,8.0,230,121,109,3,1594666857,1594666857
258,2035032,1784,florisjan89,1784.0,3,-7.0,11.0,200,119,81,2,1594554752,1594554752
259,754969,1783,VIKINGS_Ragnar,1797.0,6,-3.0,14.0,79,56,23,2,1593441471,1593441471
260,618731,1783,CarboArg,1918.0,-4,-11.0,9.0,1216,637,579,6,1594690148,1594690148
261,270350,1782,[SuN]InFeCtED,1800.0,1,-3.0,8.0,113,78,35,9,1593148277,1593148277
262,1763704,1782,RollsRoyce__,1802.0,-1,-2.0,3.0,21,14,7,0,1593675029,1593675029
263,2864701,1780,Coca-cola,1795.0,-1,-3.0,13.0,55,43,12,2,1594694598,1594694598
264,583791,1779,DaRs | Heisen,1779.0,9,-16.0,11.0,444,241,203,50,1593810494,1593810494
265,231890,1779,Jupy,1853.0,-2,-5.0,8.0,147,91,56,3,1594671622,1594671622
266,332603,1779,teutonic_tanks,1853.0,1,-6.0,21.0,152,93,59,0,1594553803,1594553803
267,1908781,1778,Jack Dee,1789.0,2,-4.0,16.0,353,193,160,2,1594556197,1594556197
268,2783660,1777,sebastian2002,1818.0,2,-4.0,7.0,132,81,51,7,1594693961,1594693961
269,1613129,1777,Triss Merigold,1785.0,1,-3.0,20.0,45,37,8,0,1594666652,1594666652
270,270589,1776,Toady,1776.0,4,-3.0,9.0,139,89,50,1,1594398501,1594398501
271,208926,1776,JohnLock,1776.0,2,-5.0,6.0,410,224,186,4,1594681102,1594681102
272,2093347,1776,VN_HEIMDALL,1795.0,-1,-5.0,8.0,111,66,45,1,1594538850,1594538850
273,330714,1776,lion_,1833.0,-2,-10.0,7.0,320,185,135,3,1594519966,1594519966
